Taxa	Taxa Name	Number of Sites	Gametes Missing	Proportion Missing	Number Heterozygous	Proportion Heterozygous	Inbreeding Coefficient	Inbreeding Coefficient Scaled by Missing
117	F44:250040153	27535	13960	0.2535	45	0.00219	Inbreeding Coefficient	ICSBM
118	F6:250047964	27535	14756	0.26795	29	0.00144	Inbreeding Coefficient	ICSBM
119	F7:250048005	27535	13152	0.23882	44	0.0021	Inbreeding Coefficient	ICSBM
120	GA209:250040014	27535	15982	0.29021	23	0.00118	Inbreeding Coefficient	ICSBM
121	GT112:250040054	27535	11668	0.21188	38	0.00175	Inbreeding Coefficient	ICSBM
122	H105W:250040018	27535	6354	0.11538	47	0.00193	Inbreeding Coefficient	ICSBM
123	H49:250040032	27535	8394	0.15242	68	0.00291	Inbreeding Coefficient	ICSBM
124	H84:250040171	27535	8436	0.15319	34	0.00146	Inbreeding Coefficient	ICSBM
125	H91:250047979	27535	4680	0.08498	16	6.3505E-4	Inbreeding Coefficient	ICSBM
126	H95:250039837	27535	9082	0.16492	45	0.00196	Inbreeding Coefficient	ICSBM
127	H99:250040040	27535	8484	0.15406	34	0.00146	Inbreeding Coefficient	ICSBM
128	HP301:250040835	27535	6878	0.1249	44	0.00183	Inbreeding Coefficient	ICSBM
129	Hi27:250040013	27535	13100	0.23788	59	0.00281	Inbreeding Coefficient	ICSBM
130	Hy:250040035	27535	8162	0.14821	25	0.00107	Inbreeding Coefficient	ICSBM
131	I137TN:250048000	27535	10940	0.19866	40	0.00181	Inbreeding Coefficient	ICSBM
132	I205:250040145	27535	12278	0.22295	1576	0.07366	Inbreeding Coefficient	ICSBM
133	I29:250047999	27535	14404	0.26156	30	0.00148	Inbreeding Coefficient	ICSBM
134	IA2132:250040837	27535	9912	0.17999	70	0.0031	Inbreeding Coefficient	ICSBM
135	IDS28:250048002	27535	11150	0.20247	28	0.00128	Inbreeding Coefficient	ICSBM
136	IDS69:250040148	27535	8684	0.15769	20	8.6233E-4	Inbreeding Coefficient	ICSBM
137	IDS91:250040055	27535	8118	0.14741	30	0.00128	Inbreeding Coefficient	ICSBM
138	Ia5125:250040164	27535	11858	0.21533	46	0.00213	Inbreeding Coefficient	ICSBM
139	Il101:250040093	27535	13130	0.23842	88	0.0042	Inbreeding Coefficient	ICSBM
140	Il14H:250040821	27535	7944	0.14425	83	0.00352	Inbreeding Coefficient	ICSBM
141	Il677a:250040074	27535	13900	0.25241	52	0.00253	Inbreeding Coefficient	ICSBM
142	K148:250040184	27535	17406	0.31607	126	0.00669	Inbreeding Coefficient	ICSBM
143	K4:250040162	27535	11024	0.20018	31	0.00141	Inbreeding Coefficient	ICSBM
144	K55:250047986	27535	9340	0.1696	55	0.00241	Inbreeding Coefficient	ICSBM
145	K64:250040197	27535	9618	0.17465	25	0.0011	Inbreeding Coefficient	ICSBM
146	KY226:250040192	27535	13884	0.25212	86	0.00418	Inbreeding Coefficient	ICSBM
147	KY228:250040205	27535	13704	0.24885	149	0.0072	Inbreeding Coefficient	ICSBM
148	Ki11:250040812	27535	6524	0.11847	58	0.00239	Inbreeding Coefficient	ICSBM
149	Ki14:250047943	27535	12568	0.22822	28	0.00132	Inbreeding Coefficient	ICSBM
150	Ki2021:250040139	27535	14298	0.25963	48	0.00235	Inbreeding Coefficient	ICSBM
151	Ki21:250040067	27535	11082	0.20123	70	0.00318	Inbreeding Coefficient	ICSBM
152	Ki3:250040831	27535	5928	0.10764	60	0.00244	Inbreeding Coefficient	ICSBM
153	Ki43:250040196	27535	10708	0.19444	73	0.00329	Inbreeding Coefficient	ICSBM
154	Ki44:250040152	27535	13200	0.23969	52	0.00248	Inbreeding Coefficient	ICSBM
155	Ky21:250040813	27535	6668	0.12108	56	0.00231	Inbreeding Coefficient	ICSBM
156	L317:250047944	27535	10016	0.18188	33	0.00146	Inbreeding Coefficient	ICSBM
157	L578:250040048	27535	13236	0.24035	71	0.00339	Inbreeding Coefficient	ICSBM
158	M14:250047977	27535	8024	0.14571	33	0.0014	Inbreeding Coefficient	ICSBM
159	M162W:250040834	27535	6782	0.12315	69	0.00286	Inbreeding Coefficient	ICSBM
160	M37W:250040826	27535	6046	0.10979	86	0.00351	Inbreeding Coefficient	ICSBM
161	MEF156-55-2:250040202	27535	14912	0.27078	135	0.00672	Inbreeding Coefficient	ICSBM
162	MO1W:250040219	27535	6900	0.1253	40	0.00166	Inbreeding Coefficient	ICSBM
163	MS1334:250040085	27535	14566	0.2645	86	0.00425	Inbreeding Coefficient	ICSBM
164	MS153:250040218	27535	11840	0.215	78	0.00361	Inbreeding Coefficient	ICSBM
165	MS71:250040817	27535	6628	0.12036	59	0.00244	Inbreeding Coefficient	ICSBM
166	Mo17:250020994	27535	3848	0.06987	28	0.00109	Inbreeding Coefficient	ICSBM
167	Mo18W:250040814	27535	7006	0.12722	81	0.00337	Inbreeding Coefficient	ICSBM
168	Mo24W:250040043	27535	17772	0.32272	444	0.02381	Inbreeding Coefficient	ICSBM
169	Mo44:250040050	27535	8400	0.15253	33	0.00141	Inbreeding Coefficient	ICSBM
170	Mo45:250040213	27535	9850	0.17886	73	0.00323	Inbreeding Coefficient	ICSBM
171	Mo46:250040028	27535	12378	0.22477	105	0.00492	Inbreeding Coefficient	ICSBM
172	Mo47:250040136	27535	14134	0.25666	47	0.0023	Inbreeding Coefficient	ICSBM
173	MoG:250040000	27535	17440	0.31669	111	0.0059	Inbreeding Coefficient	ICSBM
174	Mp339:250040217	27535	11304	0.20527	49	0.00224	Inbreeding Coefficient	ICSBM
