<Phenotype>				
taxa	data	data	data	data
Taxa	BranchNum	DTA	NIRProtein	FER
DE_3:250039761	23.50534525	76.4875	12.3777	NA
DE1:250040061	25.10008282	78.3746	13.5136	3.4223
DE811:250040133	18.133149	80.3352	15.7328	3.1635
E2558W:250040203	24.14081204	80.4846	13.1613	3.0846
EP1:250048006	22.87328919	62.597	15.6338	4.1391
F2834T:250040042	22.52817009	76.4487	12.3177	2.6256
F44:250040153	26.63854346	85.2042	15.1088	2.2643
F6:250047964	28.20064051	87.7961	15.323	2.5298
F7:250048005	9.128806261	58.5878	15.0583	2.8151
GA209:250040014	28.07070906	86.6377	14.1828	3.0656
GT112:250040054	25.97452449	89.4283	11.6494	2.5542
H105W:250040018	19.72502671	71.5868	14.0594	3.432
H49:250040032	22.252423	74.5126	14.5145	2.6663
H84:250040171	17.31155327	75.2896	14.4127	2.4281
H91:250047979	21.24864427	75.0683	14.5942	3.4667
H95:250039837	24.50253741	75.7784	13.3659	1.9136
H99:250040040	16.38919894	70.6708	NA	1.9514
Hi27:250040013	25.11314581	89.8459	14.9249	3.91
HP301:250040835	26.6174576	74.8536	13.2617	2.9479
Hy:250040035	22.8138753	76.0947	13.4174	3.6267
I137TN:250048000	25.02596146	81.1105	14.6323	2.6424
I205:250040145	19.92393878	74.1774	14.2207	3.6688
I29:250047999	20.53322716	67.4459	14.3423	2.8128
IA2132:250040837	24.38814593	69.4434	16.5812	2.634
Ia5125:250040164	25.44070045	71.6435	NA	3.8968
IDS28:250048002	26.71451659	74.0847	15.0622	2.3896
IDS69:250040148	25.22434058	77.0575	12.636	2.9066
IDS91:250040055	25.62691097	72.8644	13.7549	3.649
Il101:250040093	21.84558236	67.6639	14.9426	4.1572
Il14H:250040821	24.1742075	69.5052	16.2641	3.3881
Il677a:250040074	25.83716026	76.0879	13.2885	NA
K148:250040184	25.18314082	77.1847	15.0639	3.3049
K4:250040162	25.99637184	81.739	13.3272	3.2063
K55:250047986	25.62927918	76.2529	14.7418	3.2844
